date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20150101	1	1	0	OLD	20141111	님아, 그 강을 건너지 마오	2014-11-27	1479015600	79.3	698744500	89.6	31324845079	178941	64938	57	4025319	473	1979
20150101	2	2	0	OLD	20130574	개를 훔치는 완벽한 방법	2014-12-31	299346400	16.0	118500500	65.5	608002300	37741	10759	39.9	80633	196	650
20150101	3	3	0	OLD	20141614	더 테너 리리코 스핀토	2014-12-31	69620500	3.7	24180800	53.2	200984700	8446	1821	27.5	26316	169	367
20150101	4	4	0	OLD	20143081	그 사람 그 사랑 그 세상	2014-11-20	9467000	0.5	489000	5.4	162552500	1202	69	6.1	22070	7	14
20150101	5	5	0	OLD	20141114	쿼바디스	2014-12-10	4046900	0.2	1585400	64.4	117029800	509	114	28.9	15399	12	19
20150101	6	6	0	NEW	19900042	장군의 아들	1990-06-09	416000	0.0	416000	100	1446000	208	208	100	723	1	4
20150101	7	7	0	OLD	20141704	목숨	2014-12-04	1399500	0.1	389400	38.6	275635600	179	50	38.8	35844	10	10
20150101	8	8	3	OLD	20142798	제자, 옥한흠	2014-10-30	687000	0.0	492000	252.3	356418200	87	57	190	48547	3	5
20150101	9	9	-3	OLD	20141706	다이빙벨	2014-10-23	627000	0.0	-292000	-31.8	336231500	79	-108	-57.8	48571	4	4
20150101	10	10	4	OLD	20147803	한여름의 판타지아	2015-06-11	374600	0.0	262600	234.5	996100	48	34	242.9	148	1	1
20150101	1	1	0	OLD	20137048	국제시장	2014-12-17	6129982500	79.7	2797599300	84	47219550096	751754	275212	57.8	6097431	941	4650
20150101	2	2	0	OLD	20149265	기술자들	2014-12-24	1299883700	16.9	350703100	36.9	14952363848	160371	22538	16.4	1938454	464	1886
20150101	3	3	0	OLD	20147176	상의원	2014-12-24	230484800	3.0	24817000	12.1	5524209364	28439	-1473	-4.9	705071	258	491
20150101	4	4	0	OLD	20143639	뽀로로 극장판 눈요정 마을 대모험	 	27846600	0.4	11699700	72.5	1188395900	5561	2333	72.3	237436	66	83
20150101	5	5	2	OLD	20136802	카트	2014-11-13	1720800	0.0	-663200	-27.8	5914397433	198	-100	-33.6	812688	3	4
