date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20170101	1	1	0	OLD	20161701	위켄즈	2016-12-22	765700	30.0	-964300	-55.7	17988700	93	-101	-52.1	2354	10	11
20170101	2	2	4	OLD	20161603	순종	2016-11-17	447000	17.5	241000	117	385404200	73	48	192	54529	2	2
20170101	3	3	-1	OLD	20162545	무현, 두 도시 이야기	2016-10-26	410000	16.1	-309600	-43	1511840600	60	-35	-36.8	192728	5	6
20170101	4	4	-1	OLD	20159286	연애담	2016-11-17	315000	12.4	-149000	-32.1	183011100	38	-26	-40.6	22418	3	3
20170101	5	5	-1	OLD	20164527	부릉! 부릉! 브루미즈: 스피더의 모험 일기	2016-12-15	186000	7.3	-76500	-29.1	81314500	21	-12	-36.4	10229	3	3
20170101	6	6	2	OLD	20153401	파파좀비	2016-12-29	109000	4.3	-28500	-20.7	1704500	18	0	0	274	4	4
20170101	7	7	0	OLD	20162608	나의 살던 고향은	2016-11-24	84000	3.3	-67000	-44.4	81080600	12	-8	-40	10698	2	2
20170101	8	8	7	OLD	20163011	우리 손자 베스트	2016-12-08	73000	2.9	53000	265	11442500	11	7	175	1957	2	2
20170101	9	9	0	NEW	20169730	당신자신과 당신의 것	2016-11-10	89000	3.5	89000	100	145651200	10	10	100	17894	1	1
20170101	10	10	0	NEW	20154428	야근 대신 뜨개질	2016-11-17	48000	1.9	48000	100	8286500	7	7	100	1239	1	1
20170101	1	1	0	OLD	20161725	마스터	2016-12-21	4395114100	82.9	-188384150	-4.1	44179755165	505602	-32182	-6	5440922	1243	5715
20170101	2	2	0	OLD	20144641	판도라	2016-12-07	736915900	13.9	-35315100	-4.6	34692314064	87969	-6796	-7.2	4401833	576	1476
20170101	3	3	0	OLD	20152371	당신, 거기 있어줄래요	2016-12-14	166222000	3.1	-30383700	-15.5	9165307248	18630	-4126	-18.1	1143445	261	572
20170101	4	4	0	OLD	20154661	형	2016-11-23	944000	0.0	-627000	-39.9	23114712293	123	-85	-40.9	2979782	8	9
20170101	5	5	0	NEW	19550028	미망인	1955-12-10	15000	0.0	15000	100	829000	5	5	100	362	1	1
20170101	6	6	2	OLD	20163963	어린 아내	2016-11-18	5000	0.0	0	0	846000	1	0	0	168	1	1
20170101	7	6	2	OLD	20167689	여비서	2016-12-22	5000	0.0	0	0	48000	1	0	0	10	1	1
20170101	1	1	2	OLD	20161763	나, 다니엘 블레이크	2016-12-08	18037800	21.3	-2497400	-12.2	444884100	2085	-352	-14.4	55937	39	65
20170101	2	2	0	OLD	19890291	해리가 샐리를 만났을 때	1989-11-18	16580900	19.6	-5310400	-24.3	114237200	1885	-656	-25.8	14591	76	103
20170101	3	3	1	OLD	20160221	에곤 쉴레: 욕망이 그린 그림	2016-12-22	14501600	17.1	-4687000	-24.4	204926700	1687	-548	-24.5	25618	48	66
20170101	4	4	1	OLD	19930396	시애틀의 잠 못이루는 밤	1993-12-18	10612900	12.6	-4635600	-30.4	67574000	1227	-574	-31.9	8852	61	86
20170101	5	5	3	OLD	20166401	업 포 러브	2016-12-21	5414100	6.4	-772000	-12.5	85007100	661	-80	-10.8	10792	35	46
20170101	6	6	3	OLD	19920315	블루 벨벳	1992-10-17	4426500	5.2	-71600	-1.6	23064100	514	-1	-0.2	2615	20	27
20170101	7	7	3	OLD	20164526	나의 위대한 친구, 세잔	2016-12-15	3647000	4.3	-284000	-7.2	121098500	486	-23	-4.5	16477	19	23
20170101	8	8	-1	OLD	20080975	원스 어폰 어 타임 인 아메리카	1984-12-10	895000	1.1	-695000	-43.7	273005500	445	-340	-43.3	23037	1	3
20170101	9	9	2	OLD	20128588	그 시절, 우리가 좋아했던 소녀	2012-08-22	2356500	2.8	-1169500	-33.2	329428270	296	-151	-33.8	45442	27	31
20170101	10	10	3	OLD	20164855	사랑은 부엉부엉	2016-12-29	1698600	2.0	-275000	-13.9	12405200	201	-34	-14.5	1566	21	30
20170101	1	1	0	OLD	20163183	로그 원: 스타워즈 스토리	2016-12-28	1612424700	39.1	-351990650	-17.9	6739961794	173451	-40093	-18.8	769938	810	3335
20170101	2	2	0	OLD	20162025	씽	2016-12-21	943975500	22.9	-118258900	-11.1	9147833289	115152	-18516	-13.9	1178327	721	1755
20170101	3	3	0	OLD	20167904	라라랜드	2016-12-07	770889600	18.7	-162044100	-17.4	20767028832	87529	-21007	-19.4	2472637	590	1578
20170101	4	4	0	OLD	20161872	너의 이름은.	2017-01-04	325811500	7.9	31854500	10.8	640998500	37418	3245	9.5	74181	275	342
