date	rnum	rank	rankInten	rankOldAndNew	movieCd	movieNm	openDt	salesAmt	salesShare	salesInten	salesChange	salesAcc	audiCnt	audiInten	audiChange	audiAcc	scrnCnt	showCnt
20120101	1	1	0	OLD	20119659	량강도 아이들	2011-11-17	2139500	40.3	110500	5.4	68282500	271	4	1.5	10172	11	35
20120101	2	2	0	NEW	20101344	파수꾼	2011-03-03	1015000	19.1	1015000	100	170888700	127	127	100	22112	1	1
20120101	3	3	0	NEW	20110985	줄탁동시	2012-03-01	864000	16.3	864000	100	2047000	108	108	100	305	1	1
20120101	4	4	2	OLD	20119436	오래된 인력거	2011-12-15	546000	10.3	359000	192	15047800	104	65	166.7	2272	3	5
20120101	5	5	0	NEW	20111031	돼지의 왕	2011-11-03	509000	9.6	509000	100	144630300	57	57	100	18660	2	2
20120101	6	6	-3	OLD	20119836	고양이 춤	2011-11-17	71000	1.3	-375000	-84.1	86890800	13	-39	-75	11768	2	2
20120101	7	7	8	OLD	20119829	하얀 정글	2011-12-01	66000	1.2	24000	57.1	22471700	10	1	11.1	3047	2	3
20120101	8	8	-3	OLD	20116048	창피해	2011-12-08	44000	0.8	-232000	-84.1	21106700	9	-36	-80	3007	1	1
20120101	9	9	1	OLD	20113262	나의 선택-잊혀진 가방 그 못다한 이야기	2011-11-17	35000	0.7	-39000	-52.7	44047000	6	-8	-57.1	6405	2	2
20120101	10	10	-1	OLD	20100059	양 한 마리, 양 두 마리	2011-12-01	21000	0.4	-90000	-81.1	4905500	3	-13	-81.3	664	1	1
20120101	1	1	0	OLD	20110295	마이 웨이	2011-12-21	1189058500	54.5	-105894500	-8.2	13002897500	153501	-16465	-9.7	1739543	588	2321
20120101	2	2	0	OLD	20113260	퍼펙트 게임	2011-12-21	644532000	29.6	-75116500	-10.4	6640940000	83644	-12225	-12.8	895416	396	1364
20120101	3	3	0	OLD	20113381	오싹한 연애	2011-12-01	344871000	15.8	-107005500	-23.7	20634684500	45062	-15926	-26.1	2823060	243	839
20120101	4	4	0	NEW	20113743	댄싱퀸	2012-01-18	1008000	0.0	1008000	100	1008000	126	126	100	126	1	1
20120101	5	5	0	OLD	20112695	완득이	2011-10-20	339000	0.0	-97000	-22.2	38526500500	54	-22	-28.9	5309982	2	4
20120101	6	6	-2	OLD	20113151	모차르트 락 오페라	2011-11-17	963000	0.0	-847000	-46.8	188739000	49	-44	-47.3	10154	1	1
20120101	7	7	0	OLD	20112762	티끌모아 로맨스	2011-11-10	28000	0.0	-26000	-48.1	2941629500	4	-5	-55.6	423919	1	3
20120101	1	1	0	OLD	20113473	진짜로 일어날지도 몰라 기적	2011-12-22	11717500	36.0	-4310000	-26.9	124681500	1405	-542	-27.8	16328	17	31
20120101	2	2	0	OLD	20113654	내가 사는 피부	2011-12-29	6856000	21.1	-4407000	-39.1	37295500	823	-550	-40.1	4587	15	40
20120101	3	3	0	OLD	20113487	래빗 홀	2011-12-22	4238500	13.0	-1755000	-29.3	61660000	506	-220	-30.3	7704	15	21
20120101	4	4	0	OLD	19398001	오즈의 마법사	2012-05-03	895000	2.7	-309000	-25.7	3478000	437	-153	-25.9	1630	1	4
